meaning,kana
Fuji mountain,ふじさん
newspaper,しんぶん
eye glasses,めがね
ashtray,はいざら
Japanese clog,げた
rice,ごはん
key,かぎ
apple,りんご
painter,がか
army/camp/battlefield,ぐんじん
phone,でんわ
bank,ぎんこう
wall,かべ
right side,みぎ
bag/backpack,かばん
window,まど
pencil,えんぴつ
water,みず
afternoon (p.m),ごご
family,かぞく
morning (a.m),ごぜん
letter/envelope,ふうとう
fridge,れいぞうこ
English,えいご
plane,ひこうき
watch/clock,とけい
student,がくせい
monday,げつようび
air,くうき
fruit,くだもの
big,おおきい
hat,ぼうし
passport,パスポート
Asia,アジア
door,ドア
Thailand,タイ
sign,サイン
gas,ガス
text/textbook,テキスト
necktail,ネクタイ
dance,ダンス
size,サイズ
air conditioner,エアコン
guide,ガイド
engineer,エンジニア
India,インド
test,テスト
idea,アイデア
knife,ナイフ
hotel,ホテル
trousers/pants,ズポン
beer,ビール
radio,ラヂオ
toilet,トイレ
department,デパート
sport,スポーツ
building,ビル
guitar,ギター
taxi,タクシー
ski,スキー
note,ノート
cake,ケーキ
coat,コート
sauce,ソース
course,コース
date,デート
member,メンバー
Malaysia,マレーシア
start,スタート
concert,コンサート
ball(point) pen,ボールペン
